frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
0,0.0000,153.422,0.744,10.954,165.761,163.146,160.000,160.000,69.164,77.149,44.568,2.531,95.163,105.558,150.000,136.155,117.281,154.461,0.030,0.017
1,0.0167,153.397,0.741,4.591,169.248,162.826,160.000,160.000,66.129,78.132,43.775,2.730,94.690,105.088,150.000,137.644,118.266,157.296,0.030,0.017
2,0.0334,153.566,0.629,0.775,171.452,159.069,160.000,160.000,65.561,82.737,41.436,2.952,92.805,105.211,150.000,136.345,115.094,160.980,0.031,0.019
3,0.0500,153.753,0.538,1.114,171.770,157.978,160.000,160.000,66.384,83.193,41.358,3.062,92.620,105.206,150.000,135.854,114.356,164.506,0.031,0.019
4,0.0667,153.702,0.333,1.288,171.596,158.250,160.000,160.000,68.354,83.612,41.889,3.326,93.021,105.392,149.949,135.430,115.130,163.429,0.031,0.017
5,0.0834,153.759,0.315,0.579,171.331,158.132,160.000,160.000,68.173,83.879,42.468,4.723,93.664,105.683,149.849,136.248,113.155,162.473,0.032,0.017
6,0.1001,154.201,0.033,1.529,170.802,159.777,160.000,160.000,68.568,83.691,42.567,5.053,93.688,105.407,150.000,135.878,114.913,164.288,0.032,0.018
7,0.1168,154.560,0.287,2.992,170.880,159.414,160.000,160.000,67.763,84.245,42.935,4.816,94.402,104.385,150.000,135.956,114.580,164.719,0.032,0.018
8,0.1334,152.942,0.235,2.876,171.299,155.403,160.000,160.000,69.216,93.151,42.208,3.931,93.390,104.986,149.804,136.863,112.232,162.886,0.031,0.018
9,0.1501,151.837,0.496,4.896,171.318,151.648,160.000,160.000,69.773,101.810,39.880,3.215,91.139,105.272,148.306,138.192,111.616,158.331,0.029,0.017
10,0.1668,150.971,0.452,4.676,171.141,149.277,160.000,160.000,72.508,103.463,38.754,1.309,90.177,104.983,147.569,139.292,110.956,155.929,0.029,0.018
11,0.1835,150.132,0.509,3.958,165.720,151.591,160.000,160.000,78.231,102.379,38.864,0.919,92.923,102.450,147.456,141.367,114.975,157.513,0.028,0.017
12,0.2001,148.484,0.390,6.406,161.923,150.587,160.000,160.000,76.231,104.603,39.124,1.071,91.710,102.532,147.732,142.445,113.060,160.702,0.028,0.014
13,0.2168,148.059,0.464,7.232,163.701,150.117,160.000,160.000,75.941,112.571,38.134,2.815,91.640,101.297,143.407,142.666,110.516,160.250,0.027,0.015
14,0.2335,148.180,0.762,7.993,160.355,151.711,160.000,159.914,77.673,106.672,37.449,3.988,91.154,100.472,141.476,141.487,107.429,160.665,0.027,0.015
15,0.2502,149.595,0.756,9.965,160.400,151.374,160.000,160.000,76.791,102.332,38.859,4.805,92.213,101.152,141.133,140.476,106.339,159.634,0.028,0.016
16,0.2669,148.687,0.667,11.189,161.784,150.270,160.000,160.000,78.639,99.532,36.938,5.204,91.039,100.483,139.966,140.819,104.271,160.092,0.027,0.016
17,0.2835,149.250,0.667,11.259,162.338,149.762,160.000,160.000,79.041,93.828,36.183,3.440,90.012,100.802,140.046,140.796,101.171,157.828,0.027,0.016
18,0.3002,149.035,0.694,12.051,160.993,148.052,160.000,160.000,79.162,92.804,36.208,3.714,88.950,100.701,142.384,139.816,102.126,158.982,0.027,0.016
19,0.3169,148.511,0.500,13.338,158.278,145.293,160.000,160.000,81.699,92.892,35.995,0.794,88.430,100.050,142.718,140.489,101.502,159.859,0.027,0.015
20,0.3336,146.542,0.271,12.472,160.662,143.184,160.000,160.000,81.849,92.028,36.665,1.785,91.122,99.324,137.294,140.927,102.099,161.255,0.025,0.014
21,0.3503,145.076,0.083,12.158,163.383,143.702,160.000,160.000,82.576,89.640,36.147,2.114,91.035,99.698,136.237,141.513,101.598,160.858,0.024,0.014
22,0.3669,140.073,0.080,11.541,166.154,142.334,160.000,160.000,81.040,90.991,30.776,3.901,88.634,98.342,134.037,146.797,102.691,158.959,0.020,0.012
23,0.3836,138.730,0.097,11.262,167.895,138.641,160.000,160.000,79.374,87.163,32.865,5.815,90.491,100.440,133.771,146.894,104.827,156.974,0.020,0.010
24,0.4003,141.158,0.280,11.411,165.973,136.325,160.000,160.000,78.888,79.786,33.812,4.761,90.495,100.268,132.729,144.844,100.614,156.663,0.021,0.012
25,0.4170,144.654,0.520,11.348,165.238,136.562,160.000,160.000,78.598,74.626,31.974,6.017,88.627,100.521,132.616,144.174,101.623,157.828,0.020,0.012
26,0.4337,145.480,0.387,10.679,164.197,135.407,160.000,160.000,78.110,74.194,31.366,8.756,88.238,102.016,131.219,143.741,102.033,157.455,0.020,0.010
27,0.4503,142.853,0.371,7.567,166.259,133.653,160.000,160.000,79.030,72.095,28.776,14.134,87.580,104.658,130.577,142.128,106.193,155.682,0.018,0.008
28,0.4670,142.965,0.351,3.420,169.522,133.915,160.000,160.000,78.514,71.763,31.143,14.725,91.261,104.024,129.569,139.256,103.796,159.334,0.020,0.009
29,0.4837,145.753,0.427,1.736,168.976,133.539,160.000,160.000,81.398,70.439,30.242,15.843,91.721,103.532,130.150,139.320,109.636,162.376,0.018,0.009
30,0.5004,147.318,0.431,0.220,167.589,132.254,160.000,160.000,84.219,64.654,29.949,18.838,93.716,104.457,129.935,139.330,113.978,164.110,0.018,0.009
31,0.5170,146.556,0.513,2.546,168.425,132.904,160.000,160.000,85.200,64.961,29.855,20.441,94.490,106.062,130.490,140.813,111.895,165.034,0.019,0.008
32,0.5337,145.609,0.756,4.738,168.720,136.180,160.000,160.000,85.080,63.079,28.498,19.725,92.894,105.920,133.617,141.025,116.801,165.564,0.017,0.009
33,0.5504,143.567,0.554,5.671,167.691,135.510,160.000,160.000,88.238,62.856,27.158,22.024,93.483,106.449,133.029,145.194,122.895,167.810,0.015,0.008
34,0.5671,145.126,0.626,8.332,170.227,139.697,160.000,160.000,88.053,60.483,26.048,21.214,92.600,105.558,134.710,146.514,124.563,169.907,0.015,0.009
35,0.5838,144.925,0.406,9.645,169.816,140.734,160.000,160.000,88.120,59.889,26.185,22.097,91.954,105.984,134.492,147.129,123.772,170.363,0.015,0.010
36,0.6004,145.752,0.231,10.130,168.374,140.380,160.000,160.000,88.346,65.240,27.400,22.782,92.501,107.212,132.631,146.733,115.569,169.046,0.017,0.010
37,0.6171,147.963,0.107,11.598,168.158,140.201,160.000,160.000,88.407,63.133,27.919,23.532,92.583,107.415,132.286,145.221,113.300,168.889,0.018,0.010
38,0.6338,150.038,0.139,11.650,165.461,139.585,160.000,160.000,90.338,64.255,28.848,22.096,93.265,107.576,133.950,144.729,117.742,169.470,0.017,0.010
39,0.6505,150.209,0.418,11.925,163.208,138.323,160.000,160.000,93.729,63.853,28.992,22.584,94.600,107.435,134.106,145.364,121.998,170.838,0.017,0.010
40,0.6672,149.899,0.670,12.302,163.658,137.642,160.000,160.000,95.627,66.834,28.466,21.871,93.836,106.717,134.921,145.567,121.657,170.757,0.017,0.010
41,0.6838,148.349,0.604,12.850,164.840,139.347,160.000,160.000,98.397,66.255,28.765,23.148,95.422,108.487,134.051,145.774,123.096,169.100,0.017,0.010
42,0.7005,146.735,0.534,12.419,165.555,140.382,160.000,160.000,102.775,67.823,29.017,25.979,97.451,109.453,132.934,145.638,124.569,169.413,0.017,0.010
43,0.7172,146.235,0.656,10.717,165.499,140.487,160.000,160.000,104.350,69.078,28.174,27.485,96.250,110.868,135.588,145.107,128.925,168.404,0.016,0.010
44,0.7339,147.138,0.893,11.138,166.638,144.329,160.000,160.000,105.432,72.105,29.979,26.391,97.763,110.475,137.351,144.042,131.629,167.018,0.016,0.009
