frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
0,0.0,136.123,0.391,1.805,168.86673921801534,169.296116057257,147.97785989676404,160.0,135.850661432939,78.54463682141203,40.059,19.126,108.563,104.321,130.638,150.0,136.091,158.67,0.016,0.008
1,0.01670000000000016,138.295,0.668,0.43,167.60367076980629,170.7684158834975,148.20585390465897,160.0,133.58791669902064,78.08605211894185,41.453,18.872,109.266,104.88,136.672,148.651,136.295,139.079,0.018,0.002
2,0.033400000000000096,154.706,0.859,2.624,165.91136742231416,172.18815398881299,148.394392339582,160.0,131.0720874030712,77.44828616486367,42.935,15.696,108.633,100.165,139.428,142.367,130.933,149.645,0.021,0.007
3,0.05010000000000003,149.619,0.844,4.997,164.12443959705055,173.41668319295647,148.451963458469,160.0,129.26798894500183,76.65801818142423,42.979,16.922,108.723,101.342,136.42,143.719,127.681,150.205,0.02,0.008
4,0.0667000000000002,154.84,1.186,7.922,162.69299370278873,174.35768162177038,148.6021663834778,160.0,128.48059543415746,75.87486549963482,43.187,17.446,107.814,103.173,141.573,143.002,125.449,148.202,0.022,0.01
5,0.08340000000000014,151.97,1.17,9.446,161.9876811758315,174.89607955193316,149.21957667780535,160.0,128.03008562758063,75.3807980087857,42.499,18.312,108.459,103.123,141.909,144.2,129.007,161.755,0.021,0.009
6,0.10010000000000008,151.548,1.082,10.604,162.0746056565285,174.90175209643246,150.54533377114734,160.0,126.71300600629479,75.4764350217149,40.315,19.904,107.178,104.142,148.399,143.62,143.108,161.023,0.019,0.008
7,0.11680000000000001,147.263,1.078,12.538,162.6795772482145,174.32641031926144,152.49662609572607,160.0,123.6163440011843,76.28439813844547,39.485,13.881,105.778,99.322,148.665,149.633,129.998,156.124,0.023,0.008
8,0.13340000000000019,147.474,1.043,13.47,163.4051706826962,173.28408500426508,154.70107019429335,160.0,118.59676823923107,77.64589786515404,38.605,13.211,105.247,97.763,146.511,149.558,125.968,156.143,0.023,0.009
9,0.15010000000000012,146.725,1.362,15.291,163.9971560019799,171.99014898138932,156.71145350459386,160.0,112.11529387789375,79.25601435490833,36.505,12.336,103.576,96.284,143.746,150.0,124.149,155.055,0.021,0.009
10,0.16680000000000006,143.6,1.214,15.527,164.42207999590454,170.60771425234609,158.22683190785767,160.0,104.74780570444773,80.88003274655824,36.702,14.946,104.785,97.643,143.154,150.0,125.578,155.418,0.021,0.008
11,0.1835,148.059,1.084,15.721,164.7562475027365,169.1881338986642,159.17946394167413,160.0,96.92825932969345,82.40308415059056,37.675,13.105,105.253,94.537,142.318,150.0,128.298,156.518,0.02,0.009
12,0.20020000000000016,151.793,1.252,16.965,165.06392512316086,167.76784817850026,159.67852927418096,160.0,89.06912007191407,83.75093236163406,38.3,13.412,106.299,94.014,142.588,150.0,129.347,154.426,0.021,0.01
13,0.2168000000000001,154.96,1.42,16.622,165.36945010265686,166.46646829746766,159.8949038078195,160.0,81.72523644116858,84.87572530308856,38.634,13.492,106.211,94.093,143.67,147.083,123.997,162.576,0.025,0.011
14,0.23350000000000004,157.152,1.388,16.874,165.6775165510241,165.44911124135328,159.9717737151274,160.0,75.50071323081163,85.80182321771163,39.488,13.391,106.337,93.393,144.802,146.451,124.002,155.901,0.026,0.012
15,0.2502000000000002,156.782,1.314,14.993,165.97739743097972,164.8235203544522,159.99388886243185,160.0,70.80156210487242,86.5937634986793,40.291,13.747,107.615,92.756,144.906,147.493,126.622,154.808,0.026,0.011
16,0.26690000000000014,156.765,1.459,14.661,166.23657486113953,164.60682256886207,159.9989767052279,160.0,67.71307193780063,87.27240326230788,40.658,14.03,107.554,92.879,145.334,145.813,127.869,158.666,0.026,0.011
17,0.2836000000000001,157.477,1.593,16.183,166.41194836761616,164.75859213251908,159.99988216041407,160.0,66.083289005062,87.81899482155902,40.566,13.477,107.066,92.364,147.93,145.812,130.844,162.985,0.026,0.012
18,0.3002,158.191,1.741,16.774,166.47602316825765,165.18041745749497,160.0,160.0,65.66475550540633,88.26720641188531,40.813,13.208,107.167,92.022,147.671,145.792,131.887,164.561,0.025,0.012
19,0.3169000000000002,158.018,1.824,16.354,166.4341598212615,165.68386433279096,160.0,160.0,66.19222865759227,88.74349888603572,40.093,13.805,105.692,93.062,148.442,144.276,131.24,164.333,0.025,0.013
20,0.3336000000000001,158.336,1.76,16.39,166.32250387132905,166.03720179895424,160.0,160.0,67.41946811677963,89.39305174807517,40.372,13.822,105.818,93.519,148.055,143.338,131.624,166.046,0.025,0.013
21,0.35030000000000006,159.129,1.852,17.456,166.19514358365535,166.09714850861099,160.0,160.0,69.16029415006713,90.28013160133456,40.178,13.687,105.752,93.474,148.228,143.459,130.675,166.269,0.025,0.012
22,0.367,159.128,1.668,19.558,166.11123298806496,165.8871925660729,160.0,160.0,71.29812828551985,91.36707921741078,39.298,13.124,106.047,92.663,148.922,144.304,130.756,165.82,0.025,0.012
23,0.38360000000000016,158.27,1.669,19.32,166.12420835728608,165.54880962773692,160.0,160.0,73.7316754732249,92.56673928403133,38.391,13.942,106.222,92.929,149.203,142.658,131.201,171.877,0.025,0.012
24,0.4003000000000001,158.518,1.723,19.711,166.2714679261366,165.23664796439326,160.0,159.99996446745024,76.30013476489847,93.80158247370096,38.306,13.918,105.682,93.028,148.69,143.621,129.65,169.747,0.025,0.012
25,0.41700000000000004,157.556,1.55,21.489,166.56864332886235,165.04425210276062,160.0,159.99955450112492,78.75260863222935,95.03920251147471,37.765,12.729,103.794,94.327,150.0,143.043,129.121,165.504,0.026,0.013
26,0.4337000000000002,158.11,1.531,20.32,167.013365992653,164.9904657398668,160.0,159.9971657390028,80.78989708951485,96.31858548124872,37.788,11.598,101.651,94.949,149.886,141.599,126.535,165.883,0.026,0.013
27,0.45030000000000014,158.611,1.468,20.825,167.59033949427632,165.057379915744,160.0,159.9861715741592,82.15111081995664,97.7736084258126,38.835,12.009,101.578,96.071,147.7,140.474,123.267,170.143,0.026,0.013
28,0.4670000000000001,158.788,1.277,18.602,168.26544020043812,165.22293254736013,160.0,159.94578935164077,82.68918133824687,99.62665148820844,36.339,12.104,99.468,95.208,147.672,141.034,121.716,165.758,0.025,0.012
29,0.4837,158.334,1.0,18.557,168.9776359245638,165.43347422121929,160.0,159.82722745599784,82.41906969514527,102.12197169860238,35.969,11.882,99.662,94.771,148.331,141.164,122.03,169.594,0.025,0.013
