frame,time_sec,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,elbow_left_deg,elbow_right_deg
0,0.0000,3.847,60.000,148.989,145.954,134.903,127.332,31.224,32.200,100.608,90.168,124.613,122.124
1,0.0167,3.822,60.000,151.694,144.951,134.985,125.881,29.306,31.540,100.068,91.833,123.487,123.948
2,0.0333,3.766,60.000,151.862,144.658,134.599,125.336,28.926,31.121,99.877,92.188,123.205,124.542
3,0.0500,3.693,60.000,151.627,143.614,134.426,124.157,29.182,30.894,99.906,93.031,123.340,125.460
4,0.0667,3.663,60.000,151.491,141.884,134.344,122.525,29.313,30.928,100.122,93.044,123.830,125.565
5,0.0834,3.664,60.000,150.544,141.452,133.956,122.681,29.304,30.925,100.611,92.906,124.940,125.912
6,0.1000,3.672,60.000,149.586,143.474,133.512,124.744,29.162,30.602,100.493,92.059,125.218,125.088
7,0.1167,3.688,60.000,148.242,143.399,133.276,125.843,29.154,30.749,100.581,91.375,126.020,124.683
8,0.1334,3.716,60.000,148.401,144.371,132.957,126.299,28.761,30.359,100.551,91.577,126.144,124.870
9,0.1501,3.756,60.000,148.691,144.521,133.214,126.627,28.852,30.497,100.591,90.847,126.286,124.094
10,0.1667,3.762,60.000,150.002,145.089,134.282,127.059,28.788,30.446,100.467,90.738,125.921,123.881
11,0.1834,3.792,60.000,149.535,146.048,132.569,127.098,28.794,30.508,100.644,92.047,125.650,124.822
12,0.2001,3.814,60.000,149.579,146.681,132.150,127.421,28.724,30.355,100.423,92.218,125.108,124.986
13,0.2168,3.830,60.000,147.932,147.666,129.920,127.935,28.473,30.036,100.633,92.316,125.146,125.006
14,0.2334,3.830,60.000,145.849,148.799,127.392,128.647,27.974,29.556,100.763,92.208,125.272,124.957
15,0.2501,3.830,60.000,144.865,148.686,126.099,128.599,27.793,29.610,100.713,92.206,125.039,124.928
16,0.2668,3.847,60.000,140.347,148.437,121.516,128.259,27.850,29.718,100.873,91.778,125.132,124.411
17,0.2835,3.835,60.000,141.315,148.337,122.617,128.240,27.921,29.779,100.886,91.776,125.012,124.353
18,0.3001,3.846,60.000,141.661,145.713,123.130,125.989,27.971,29.964,100.791,91.576,124.851,123.798
19,0.3168,3.846,60.000,138.939,144.971,120.342,125.397,28.006,30.120,100.782,91.418,124.742,123.596
20,0.3335,3.816,60.000,134.924,143.096,116.297,124.027,28.059,30.448,100.765,90.786,124.617,122.627
21,0.3502,3.857,60.000,133.604,140.660,114.916,121.683,28.208,30.650,100.774,90.439,124.482,122.144
22,0.3668,3.894,60.000,133.607,137.849,114.074,118.116,28.549,30.767,100.404,91.064,123.354,122.349
23,0.3835,3.913,60.000,134.077,138.443,113.796,118.206,28.801,30.937,100.636,92.004,123.400,123.381
24,0.4002,3.926,60.000,133.063,138.573,112.555,118.290,28.462,30.854,100.625,91.905,123.129,123.281
25,0.4169,3.910,60.000,132.444,138.992,111.924,118.683,28.285,30.790,101.105,91.863,123.804,123.197
26,0.4335,3.886,60.000,132.960,139.211,112.221,118.901,27.828,30.841,101.077,92.103,123.995,123.445
27,0.4502,3.849,60.000,135.404,138.845,115.031,119.089,27.769,30.820,100.887,92.917,124.095,124.784
28,0.4669,3.817,60.000,134.378,137.434,115.217,118.738,27.772,30.665,100.283,93.319,124.353,125.664
29,0.4836,3.788,60.000,135.375,134.396,116.925,117.040,28.012,31.045,99.701,94.757,123.959,127.022
30,0.5002,3.771,60.000,135.015,132.797,116.679,115.080,28.098,30.805,99.548,94.565,123.970,126.584
31,0.5169,3.762,60.000,134.685,132.535,116.256,114.639,28.087,30.669,99.706,93.981,124.235,125.939
32,0.5336,3.764,60.000,134.621,133.036,115.735,114.465,28.248,30.667,100.353,94.729,124.913,126.503
33,0.5503,3.786,60.000,134.630,133.995,115.524,114.681,28.385,30.664,100.990,94.797,125.685,126.694
34,0.5669,3.830,60.000,134.809,135.402,115.689,115.990,28.077,30.413,100.967,94.280,125.826,126.268
35,0.5836,3.815,60.000,134.786,137.411,115.326,117.463,27.828,29.885,100.817,94.252,125.672,126.298
36,0.6003,3.803,60.000,135.213,139.914,114.710,119.396,27.533,29.569,99.983,94.708,124.659,126.881
37,0.6170,3.782,60.000,136.169,139.840,115.315,119.417,27.480,29.741,99.378,95.034,123.583,126.865
